genes,yellow,blue,white,cyan,royalblue,orange,turquoise,brown,darkgrey,magenta,salmon,grey60,red,lightcyan,purple,black,darkred,darkturquoise,lightyellow,darkorange,greenyellow,pink,green,tan,grey
miRNA_ENSG00000263676.1__12191728__12191758,cor=-0.3405;p-value=0.3357,cor=0.2946;p-value=0.4086,cor=0.308;p-value=0.3866,cor=0.0705;p-value=0.8465,cor=-0.1653;p-value=0.6482,cor=0.3983;p-value=0.2542,cor=-0.1142;p-value=0.7534,cor=-0.3331;p-value=0.347,cor=-0.3025;p-value=0.3955,cor=-0.2287;p-value=0.5251,cor=0.31;p-value=0.3833,cor=0.7133;p-value=0.0205,cor=0.7781;p-value=0.008,cor=-0.3867;p-value=0.2697,cor=0.0711;p-value=0.8452,cor=0.2184;p-value=0.5444,cor=0.2482;p-value=0.4893,cor=0.2631;p-value=0.4627,cor=0.0873;p-value=0.8104,cor=-0.1826;p-value=0.6136,cor=0.0721;p-value=0.8431,cor=-0.2791;p-value=0.4348,cor=-0.1247;p-value=0.7314,cor=-0.192;p-value=0.5951,cor=-0.1455;p-value=0.6883
miRNA_ENSG00000263676.1__12191743__12191773,cor=-0.3368;p-value=0.3414,cor=0.427;p-value=0.2184,cor=0.2927;p-value=0.4118,cor=-0.0387;p-value=0.9154,cor=-0.2292;p-value=0.5241,cor=0.2406;p-value=0.5031,cor=-0.2956;p-value=0.407,cor=-0.3109;p-value=0.3819,cor=-0.4565;p-value=0.1847,cor=-0.384;p-value=0.2733,cor=0.0537;p-value=0.8829,cor=0.46;p-value=0.181,cor=0.4024;p-value=0.249,cor=-0.2959;p-value=0.4064,cor=0.0296;p-value=0.9352,cor=0.5778;p-value=0.0802,cor=0.5104;p-value=0.1317,cor=0.1668;p-value=0.6452,cor=0.1549;p-value=0.6691,cor=-0.1263;p-value=0.7281,cor=0.0496;p-value=0.8917,cor=-0.2616;p-value=0.4653,cor=0.021;p-value=0.954,cor=-0.021;p-value=0.9541,cor=0.0851;p-value=0.8152
miRNA_ENSG00000276830.1__12578957__12578987,cor=-0.0829;p-value=0.8198,cor=-0.2163;p-value=0.5484,cor=-0.2375;p-value=0.5087,cor=-0.2901;p-value=0.4162,cor=-0.3668;p-value=0.2972,cor=-0.0959;p-value=0.7922,cor=-0.2669;p-value=0.456,cor=0.1884;p-value=0.6022,cor=-0.1048;p-value=0.7732,cor=-0.0581;p-value=0.8734,cor=-0.083;p-value=0.8197,cor=-0.4059;p-value=0.2444,cor=-0.3144;p-value=0.3763,cor=0.7478;p-value=0.0129,cor=0.8378;p-value=0.0025,cor=0.2293;p-value=0.5239,cor=0.1278;p-value=0.7249,cor=0.0073;p-value=0.9841,cor=0.1382;p-value=0.7033,cor=-0.2303;p-value=0.5222,cor=-0.2266;p-value=0.5291,cor=-0.0876;p-value=0.8098,cor=0.0124;p-value=0.973,cor=0.1686;p-value=0.6416,cor=0.2195;p-value=0.5423
miRNA_ENSG00000276830.1__12578972__12579002,cor=-0.2289;p-value=0.5248,cor=-0.3258;p-value=0.3582,cor=-0.2681;p-value=0.4538,cor=-0.2254;p-value=0.5313,cor=-0.4234;p-value=0.2228,cor=-0.0538;p-value=0.8828,cor=-0.1139;p-value=0.754,cor=0.5923;p-value=0.0712,cor=0.2702;p-value=0.4502,cor=0.2563;p-value=0.4748,cor=0.1001;p-value=0.7831,cor=-0.5183;p-value=0.1249,cor=-0.3835;p-value=0.2739,cor=0.9139;p-value=2e-04,cor=0.4424;p-value=0.2005,cor=0.3487;p-value=0.3234,cor=-0.1599;p-value=0.659,cor=0.0294;p-value=0.9359,cor=0.0986;p-value=0.7863,cor=-0.1936;p-value=0.592,cor=-0.2381;p-value=0.5076,cor=-0.0769;p-value=0.8329,cor=-0.1455;p-value=0.6884,cor=-0.0044;p-value=0.9903,cor=0.0636;p-value=0.8614
miRNA_ENSG00000276830.1__12578987__12579017,cor=-0.2852;p-value=0.4244,cor=-0.2811;p-value=0.4314,cor=-0.1555;p-value=0.668,cor=-0.0156;p-value=0.9659,cor=-0.2561;p-value=0.4751,cor=0.0302;p-value=0.9339,cor=0.1452;p-value=0.689,cor=0.7716;p-value=0.0089,cor=0.5949;p-value=0.0696,cor=0.5116;p-value=0.1307,cor=0.2767;p-value=0.439,cor=-0.3683;p-value=0.295,cor=-0.2547;p-value=0.4776,cor=0.6087;p-value=0.0618,cor=-0.311;p-value=0.3817,cor=0.3035;p-value=0.3939,cor=-0.4358;p-value=0.208,cor=0.0409;p-value=0.9108,cor=-0.0075;p-value=0.9835,cor=-0.0375;p-value=0.9181,cor=-0.1183;p-value=0.7449,cor=-0.0197;p-value=0.957,cor=-0.2641;p-value=0.4608,cor=-0.2222;p-value=0.5373,cor=-0.1708;p-value=0.6371
miRNA_ENSG00000263811.1__16858949__16858979,cor=-0.1374;p-value=0.705,cor=0.7057;p-value=0.0226,cor=0.3421;p-value=0.3332,cor=0.5954;p-value=0.0693,cor=0.2097;p-value=0.5609,cor=-0.1678;p-value=0.6432,cor=-0.0418;p-value=0.9088,cor=0.6206;p-value=0.0555,cor=0.5216;p-value=0.1221,cor=0.6015;p-value=0.0659,cor=0.4662;p-value=0.1744,cor=0.3853;p-value=0.2715,cor=-0.0326;p-value=0.9288,cor=0.0074;p-value=0.9838,cor=-0.3307;p-value=0.3506,cor=0.0318;p-value=0.9306,cor=-0.4825;p-value=0.1578,cor=-0.5178;p-value=0.1252,cor=-0.592;p-value=0.0714,cor=-0.4052;p-value=0.2454,cor=-0.2806;p-value=0.4323,cor=-0.1791;p-value=0.6206,cor=-0.3242;p-value=0.3608,cor=-0.5944;p-value=0.0699,cor=-0.578;p-value=0.0801
miRNA_ENSG00000263811.1__16858964__16858994,cor=-0.0419;p-value=0.9085,cor=0.3395;p-value=0.3372,cor=0.0248;p-value=0.9458,cor=0.0362;p-value=0.9209,cor=-0.0388;p-value=0.9152,cor=-0.2348;p-value=0.5138,cor=-0.3183;p-value=0.3701,cor=0.3243;p-value=0.3606,cor=-0.0058;p-value=0.9872,cor=0.083;p-value=0.8196,cor=-0.0485;p-value=0.8942,cor=-0.1465;p-value=0.6863,cor=-0.3817;p-value=0.2764,cor=0.1739;p-value=0.6308,cor=-0.3177;p-value=0.371,cor=0.4383;p-value=0.2052,cor=0.0841;p-value=0.8173,cor=-0.1806;p-value=0.6175,cor=0.0683;p-value=0.8513,cor=0.1431;p-value=0.6933,cor=-0.1834;p-value=0.6121,cor=0.4043;p-value=0.2465,cor=-0.2261;p-value=0.53,cor=-0.0263;p-value=0.9425,cor=0.0474;p-value=0.8966
miRNA_ENSG00000263811.1__16858979__16859009,cor=0.1185;p-value=0.7444,cor=0.1679;p-value=0.6428,cor=-0.0145;p-value=0.9682,cor=-0.0948;p-value=0.7944,cor=-0.0167;p-value=0.9634,cor=-0.1488;p-value=0.6815,cor=-0.3496;p-value=0.322,cor=0.1047;p-value=0.7734,cor=-0.2019;p-value=0.5758,cor=-0.0967;p-value=0.7903,cor=-0.2158;p-value=0.5493,cor=-0.2715;p-value=0.448,cor=-0.4302;p-value=0.2146,cor=0.1746;p-value=0.6296,cor=-0.1785;p-value=0.6218,cor=0.494;p-value=0.1467,cor=0.2868;p-value=0.4218,cor=-0.0217;p-value=0.9526,cor=0.2677;p-value=0.4546,cor=0.2431;p-value=0.4986,cor=-0.1726;p-value=0.6335,cor=0.5383;p-value=0.1084,cor=-0.2208;p-value=0.5398,cor=0.1185;p-value=0.7444,cor=0.201;p-value=0.5777
miRNA_ENSG00000263811.1__16859009__16859021,cor=-0.1211;p-value=0.739,cor=0.1273;p-value=0.7261,cor=0.1687;p-value=0.6413,cor=0.0613;p-value=0.8665,cor=-0.1134;p-value=0.7551,cor=0.1241;p-value=0.7326,cor=-0.0664;p-value=0.8553,cor=0.2593;p-value=0.4694,cor=0.0867;p-value=0.8117,cor=0.115;p-value=0.7517,cor=0.1075;p-value=0.7675,cor=-0.0451;p-value=0.9015,cor=-0.1154;p-value=0.7508,cor=0.1349;p-value=0.7103,cor=-0.2027;p-value=0.5743,cor=0.7665;p-value=0.0097,cor=0.1642;p-value=0.6504,cor=-0.2131;p-value=0.5544,cor=-0.1538;p-value=0.6714,cor=-0.4281;p-value=0.2171,cor=-0.4945;p-value=0.1462,cor=-0.2356;p-value=0.5123,cor=0.1289;p-value=0.7227,cor=-0.127;p-value=0.7266,cor=-0.0592;p-value=0.871
miRNA_ENSG00000265606.1__18883202__18883232,cor=0.6097;p-value=0.0613,cor=-0.07;p-value=0.8475,cor=-0.0477;p-value=0.8959,cor=0.052;p-value=0.8866,cor=0.1913;p-value=0.5965,cor=-0.0652;p-value=0.858,cor=-0.3772;p-value=0.2826,cor=0.0767;p-value=0.8333,cor=-0.1415;p-value=0.6966,cor=0.1302;p-value=0.72,cor=-0.0513;p-value=0.8882,cor=-0.2903;p-value=0.4159,cor=-0.4344;p-value=0.2097,cor=0.2896;p-value=0.417,cor=0.4966;p-value=0.1442,cor=-0.0362;p-value=0.921,cor=0.0024;p-value=0.9948,cor=-0.0779;p-value=0.8306,cor=-0.1448;p-value=0.6899,cor=-0.2319;p-value=0.5192,cor=0.0612;p-value=0.8667,cor=-0.3736;p-value=0.2875,cor=0.0108;p-value=0.9763,cor=-0.0396;p-value=0.9136,cor=-0.0053;p-value=0.9885
miRNA_ENSG00000265606.1__18883217__18883247,cor=0.6097;p-value=0.0613,cor=-0.07;p-value=0.8475,cor=-0.0477;p-value=0.8959,cor=0.052;p-value=0.8866,cor=0.1913;p-value=0.5965,cor=-0.0652;p-value=0.858,cor=-0.3772;p-value=0.2826,cor=0.0767;p-value=0.8333,cor=-0.1415;p-value=0.6966,cor=0.1302;p-value=0.72,cor=-0.0513;p-value=0.8882,cor=-0.2903;p-value=0.4159,cor=-0.4344;p-value=0.2097,cor=0.2896;p-value=0.417,cor=0.4966;p-value=0.1442,cor=-0.0362;p-value=0.921,cor=0.0024;p-value=0.9948,cor=-0.0779;p-value=0.8306,cor=-0.1448;p-value=0.6899,cor=-0.2319;p-value=0.5192,cor=0.0612;p-value=0.8667,cor=-0.3736;p-value=0.2875,cor=0.0108;p-value=0.9763,cor=-0.0396;p-value=0.9136,cor=-0.0053;p-value=0.9885
miRNA_ENSG00000265606.1__18883232__18883262,cor=-0.4128;p-value=0.2358,cor=-0.1147;p-value=0.7523,cor=-0.2552;p-value=0.4767,cor=-0.1787;p-value=0.6213,cor=-0.5902;p-value=0.0724,cor=0.0494;p-value=0.8921,cor=-0.4359;p-value=0.208,cor=0.5085;p-value=0.1334,cor=0.0177;p-value=0.9613,cor=0.2618;p-value=0.465,cor=0.6432;p-value=0.0448,cor=0.2397;p-value=0.5048,cor=0.4573;p-value=0.1839,cor=0.3496;p-value=0.3221,cor=-0.0156;p-value=0.9658,cor=0.2567;p-value=0.474,cor=-0.2505;p-value=0.4851,cor=0.0285;p-value=0.9376,cor=-0.0637;p-value=0.8613,cor=-0.2568;p-value=0.4738,cor=-0.0363;p-value=0.9207,cor=-0.4215;p-value=0.2251,cor=0.03;p-value=0.9345,cor=-0.1529;p-value=0.6733,cor=-0.1343;p-value=0.7115
miRNA_ENSG00000265606.1__18883262__18883275,cor=-0.4128;p-value=0.2358,cor=-0.1147;p-value=0.7523,cor=-0.2552;p-value=0.4767,cor=-0.1787;p-value=0.6213,cor=-0.5902;p-value=0.0724,cor=0.0494;p-value=0.8921,cor=-0.4359;p-value=0.208,cor=0.5085;p-value=0.1334,cor=0.0177;p-value=0.9613,cor=0.2618;p-value=0.465,cor=0.6432;p-value=0.0448,cor=0.2397;p-value=0.5048,cor=0.4573;p-value=0.1839,cor=0.3496;p-value=0.3221,cor=-0.0156;p-value=0.9658,cor=0.2567;p-value=0.474,cor=-0.2505;p-value=0.4851,cor=0.0285;p-value=0.9376,cor=-0.0637;p-value=0.8613,cor=-0.2568;p-value=0.4738,cor=-0.0363;p-value=0.9207,cor=-0.4215;p-value=0.2251,cor=0.03;p-value=0.9345,cor=-0.1529;p-value=0.6733,cor=-0.1343;p-value=0.7115
miRNA_ENSG00000221662.1__18897071__18897101,cor=-0.0922;p-value=0.8001,cor=0.7543;p-value=0.0117,cor=0.5999;p-value=0.0667,cor=0.7986;p-value=0.0056,cor=0.5123;p-value=0.13,cor=-0.0333;p-value=0.9273,cor=0.4412;p-value=0.2018,cor=0.3877;p-value=0.2683,cor=0.7205;p-value=0.0188,cor=0.5566;p-value=0.0947,cor=0.2415;p-value=0.5015,cor=0.3757;p-value=0.2847,cor=-0.1144;p-value=0.7529,cor=-0.1914;p-value=0.5964,cor=-0.2611;p-value=0.4662,cor=-0.1512;p-value=0.6766,cor=-0.474;p-value=0.1663,cor=-0.4882;p-value=0.1522,cor=-0.6887;p-value=0.0277,cor=-0.4623;p-value=0.1785,cor=-0.2166;p-value=0.5478,cor=-0.2934;p-value=0.4106,cor=-0.3292;p-value=0.353,cor=-0.6685;p-value=0.0346,cor=-0.6586;p-value=0.0384
miRNA_ENSG00000221662.1__18897086__18897116,cor=-0.0922;p-value=0.8001,cor=0.7543;p-value=0.0117,cor=0.5999;p-value=0.0667,cor=0.7986;p-value=0.0056,cor=0.5123;p-value=0.13,cor=-0.0333;p-value=0.9273,cor=0.4412;p-value=0.2018,cor=0.3877;p-value=0.2683,cor=0.7205;p-value=0.0188,cor=0.5566;p-value=0.0947,cor=0.2415;p-value=0.5015,cor=0.3757;p-value=0.2847,cor=-0.1144;p-value=0.7529,cor=-0.1914;p-value=0.5964,cor=-0.2611;p-value=0.4662,cor=-0.1512;p-value=0.6766,cor=-0.474;p-value=0.1663,cor=-0.4882;p-value=0.1522,cor=-0.6887;p-value=0.0277,cor=-0.4623;p-value=0.1785,cor=-0.2166;p-value=0.5478,cor=-0.2934;p-value=0.4106,cor=-0.3292;p-value=0.353,cor=-0.6685;p-value=0.0346,cor=-0.6586;p-value=0.0384
miRNA_ENSG00000221662.1__18897101__18897131,cor=-0.1886;p-value=0.6018,cor=-0.1378;p-value=0.7042,cor=-0.2127;p-value=0.5552,cor=0.1264;p-value=0.728,cor=-0.28;p-value=0.4333,cor=0.0454;p-value=0.9009,cor=-0.224;p-value=0.5338,cor=0.6546;p-value=0.04,cor=0.3559;p-value=0.3128,cor=0.6484;p-value=0.0426,cor=0.9356;p-value=1e-04,cor=0.4616;p-value=0.1793,cor=0.6518;p-value=0.0411,cor=0.2075;p-value=0.5652,cor=-0.2126;p-value=0.5554,cor=-0.2122;p-value=0.5562,cor=-0.7001;p-value=0.0242,cor=-0.1714;p-value=0.6359,cor=-0.3541;p-value=0.3155,cor=-0.3649;p-value=0.2998,cor=-0.2498;p-value=0.4864,cor=-0.232;p-value=0.5189,cor=-0.1471;p-value=0.6851,cor=-0.4253;p-value=0.2205,cor=-0.5134;p-value=0.129
miRNA_ENSG00000221662.1__18897116__18897146,cor=-0.1425;p-value=0.6945,cor=-0.1328;p-value=0.7146,cor=-0.3193;p-value=0.3685,cor=0.1121;p-value=0.7578,cor=-0.2339;p-value=0.5154,cor=-0.276;p-value=0.4403,cor=-0.1466;p-value=0.686,cor=0.9953;p-value=0,cor=0.631;p-value=0.0504,cor=0.7808;p-value=0.0077,cor=0.6114;p-value=0.0604,cor=-0.1334;p-value=0.7132,cor=-0.1147;p-value=0.7524,cor=0.6239;p-value=0.0539,cor=-0.1626;p-value=0.6535,cor=-0.1757;p-value=0.6274,cor=-0.8055;p-value=0.0049,cor=-0.3435;p-value=0.3311,cor=-0.4121;p-value=0.2367,cor=-0.2566;p-value=0.4742,cor=-0.1673;p-value=0.6441,cor=-0.2187;p-value=0.5439,cor=-0.1247;p-value=0.7315,cor=-0.3309;p-value=0.3503,cor=-0.3745;p-value=0.2863
miRNA_ENSG00000221808.1__20988314__20988344,cor=0.3788;p-value=0.2803,cor=0.5761;p-value=0.0813,cor=0.2393;p-value=0.5056,cor=0.3916;p-value=0.2631,cor=0.5463;p-value=0.1023,cor=-0.3215;p-value=0.365,cor=-0.0435;p-value=0.905,cor=-0.0885;p-value=0.8078,cor=0.0023;p-value=0.995,cor=0.0694;p-value=0.849,cor=-0.1527;p-value=0.6736,cor=0.183;p-value=0.6129,cor=-0.2534;p-value=0.4799,cor=-0.6212;p-value=0.0552,cor=-0.6201;p-value=0.0558,cor=-0.2233;p-value=0.5351,cor=-0.046;p-value=0.8995,cor=-0.4461;p-value=0.1962,cor=-0.3792;p-value=0.2799,cor=0.1181;p-value=0.7453,cor=0.094;p-value=0.7962,cor=0.0889;p-value=0.807,cor=0.1301;p-value=0.7201,cor=-0.087;p-value=0.8111,cor=-0.1277;p-value=0.7251
miRNA_ENSG00000221808.1__20988329__20988359,cor=0.3882;p-value=0.2677,cor=0.6055;p-value=0.0636,cor=0.2861;p-value=0.423,cor=0.4605;p-value=0.1804,cor=0.5893;p-value=0.073,cor=-0.3002;p-value=0.3993,cor=-8e-04;p-value=0.9983,cor=-0.0424;p-value=0.9075,cor=0.0781;p-value=0.8303,cor=0.1386;p-value=0.7025,cor=-0.1119;p-value=0.7583,cor=0.2059;p-value=0.5682,cor=-0.2564;p-value=0.4746,cor=-0.608;p-value=0.0622,cor=-0.6134;p-value=0.0593,cor=-0.2373;p-value=0.5092,cor=-0.1028;p-value=0.7775,cor=-0.4734;p-value=0.167,cor=-0.438;p-value=0.2055,cor=0.0556;p-value=0.8789,cor=0.0609;p-value=0.8674,cor=0.0493;p-value=0.8925,cor=0.0861;p-value=0.813,cor=-0.1591;p-value=0.6607,cor=-0.1993;p-value=0.581
miRNA_ENSG00000221808.1__20988344__20988374,cor=0.3882;p-value=0.2677,cor=0.6055;p-value=0.0636,cor=0.2861;p-value=0.423,cor=0.4605;p-value=0.1804,cor=0.5893;p-value=0.073,cor=-0.3002;p-value=0.3993,cor=-8e-04;p-value=0.9983,cor=-0.0424;p-value=0.9075,cor=0.0781;p-value=0.8303,cor=0.1386;p-value=0.7025,cor=-0.1119;p-value=0.7583,cor=0.2059;p-value=0.5682,cor=-0.2564;p-value=0.4746,cor=-0.608;p-value=0.0622,cor=-0.6134;p-value=0.0593,cor=-0.2373;p-value=0.5092,cor=-0.1028;p-value=0.7775,cor=-0.4734;p-value=0.167,cor=-0.438;p-value=0.2055,cor=0.0556;p-value=0.8789,cor=0.0609;p-value=0.8674,cor=0.0493;p-value=0.8925,cor=0.0861;p-value=0.813,cor=-0.1591;p-value=0.6607,cor=-0.1993;p-value=0.581
miRNA_ENSG00000221808.1__20988359__20988389,cor=-0.1441;p-value=0.6913,cor=0.3959;p-value=0.2574,cor=0.3418;p-value=0.3337,cor=0.5433;p-value=0.1046,cor=0.3237;p-value=0.3616,cor=0.0799;p-value=0.8264,cor=0.4072;p-value=0.2428,cor=-4e-04;p-value=0.9992,cor=0.4109;p-value=0.2381,cor=0.3349;p-value=0.3441,cor=0.4416;p-value=0.2014,cor=0.7352;p-value=0.0154,cor=0.6055;p-value=0.0636,cor=-0.4287;p-value=0.2163,cor=-0.0754;p-value=0.836,cor=-0.6105;p-value=0.0608,cor=-0.4761;p-value=0.1643,cor=-0.2879;p-value=0.4199,cor=-0.5111;p-value=0.1311,cor=-0.3467;p-value=0.3263,cor=-0.1926;p-value=0.5939,cor=-0.0978;p-value=0.7882,cor=-0.1824;p-value=0.614,cor=-0.4756;p-value=0.1647,cor=-0.5894;p-value=0.073
miRNA_ENSG00000221808.1__20988374__20988404,cor=-0.3836;p-value=0.2739,cor=-0.1012;p-value=0.7808,cor=0.0762;p-value=0.8344,cor=0.117;p-value=0.7476,cor=-0.1479;p-value=0.6835,cor=0.2714;p-value=0.4481,cor=0.3267;p-value=0.3569,cor=0.029;p-value=0.9366,cor=0.2752;p-value=0.4415,cor=0.1725;p-value=0.6337,cor=0.431;p-value=0.2137,cor=0.4466;p-value=0.1957,cor=0.6621;p-value=0.037,cor=0.0767;p-value=0.8332,cor=0.3634;p-value=0.302,cor=-0.3251;p-value=0.3594,cor=-0.3103;p-value=0.3829,cor=0.0965;p-value=0.7909,cor=-0.1068;p-value=0.7691,cor=-0.3161;p-value=0.3736,cor=-0.1963;p-value=0.5867,cor=-0.1123;p-value=0.7573,cor=-0.2056;p-value=0.5688,cor=-0.271;p-value=0.4488,cor=-0.3344;p-value=0.345
miRNA_ENSG00000221808.1__20988389__20988419,cor=-0.3836;p-value=0.2739,cor=-0.1012;p-value=0.7808,cor=0.0762;p-value=0.8344,cor=0.117;p-value=0.7476,cor=-0.1479;p-value=0.6835,cor=0.2714;p-value=0.4481,cor=0.3267;p-value=0.3569,cor=0.029;p-value=0.9366,cor=0.2752;p-value=0.4415,cor=0.1725;p-value=0.6337,cor=0.431;p-value=0.2137,cor=0.4466;p-value=0.1957,cor=0.6621;p-value=0.037,cor=0.0767;p-value=0.8332,cor=0.3634;p-value=0.302,cor=-0.3251;p-value=0.3594,cor=-0.3103;p-value=0.3829,cor=0.0965;p-value=0.7909,cor=-0.1068;p-value=0.7691,cor=-0.3161;p-value=0.3736,cor=-0.1963;p-value=0.5867,cor=-0.1123;p-value=0.7573,cor=-0.2056;p-value=0.5688,cor=-0.271;p-value=0.4488,cor=-0.3344;p-value=0.345
miRNA_ENSG00000276835.2__22633258__22633288,cor=0.9357;p-value=1e-04,cor=0.0816;p-value=0.8227,cor=0.4871;p-value=0.1533,cor=0.5585;p-value=0.0933,cor=0.7855;p-value=0.0071,cor=0.4298;p-value=0.2151,cor=0.061;p-value=0.867,cor=-0.2777;p-value=0.4372,cor=0.0128;p-value=0.9721,cor=0.2723;p-value=0.4466,cor=0.1453;p-value=0.6888,cor=0.2685;p-value=0.4531,cor=0.0538;p-value=0.8828,cor=-0.3712;p-value=0.2909,cor=0.1214;p-value=0.7383,cor=-0.1129;p-value=0.7562,cor=-0.0338;p-value=0.926,cor=-0.0366;p-value=0.9201,cor=-0.3175;p-value=0.3714,cor=-0.4557;p-value=0.1856,cor=-0.2606;p-value=0.4671,cor=-0.2134;p-value=0.5539,cor=-0.2994;p-value=0.4007,cor=-0.4623;p-value=0.1785,cor=-0.4763;p-value=0.164
miRNA_ENSG00000276835.2__22633273__22633303,cor=0.9357;p-value=1e-04,cor=0.0816;p-value=0.8227,cor=0.4871;p-value=0.1533,cor=0.5585;p-value=0.0933,cor=0.7855;p-value=0.0071,cor=0.4298;p-value=0.2151,cor=0.061;p-value=0.867,cor=-0.2777;p-value=0.4372,cor=0.0128;p-value=0.9721,cor=0.2723;p-value=0.4466,cor=0.1453;p-value=0.6888,cor=0.2685;p-value=0.4531,cor=0.0538;p-value=0.8828,cor=-0.3712;p-value=0.2909,cor=0.1214;p-value=0.7383,cor=-0.1129;p-value=0.7562,cor=-0.0338;p-value=0.926,cor=-0.0366;p-value=0.9201,cor=-0.3175;p-value=0.3714,cor=-0.4557;p-value=0.1856,cor=-0.2606;p-value=0.4671,cor=-0.2134;p-value=0.5539,cor=-0.2994;p-value=0.4007,cor=-0.4623;p-value=0.1785,cor=-0.4763;p-value=0.164
miRNA_ENSG00000263793.1__23044305__23044335,cor=-0.0158;p-value=0.9655,cor=-0.552;p-value=0.0981,cor=-0.2921;p-value=0.4128,cor=-0.6477;p-value=0.0429,cor=-0.3627;p-value=0.3029,cor=0.1769;p-value=0.6249,cor=-0.1912;p-value=0.5967,cor=-0.3469;p-value=0.326,cor=-0.5169;p-value=0.1261,cor=-0.5811;p-value=0.0781,cor=-0.5379;p-value=0.1087,cor=-0.6172;p-value=0.0573,cor=-0.305;p-value=0.3915,cor=0.3748;p-value=0.2859,cor=0.3039;p-value=0.3932,cor=0.4252;p-value=0.2206,cor=0.6013;p-value=0.0659,cor=0.7547;p-value=0.0116,cor=0.9317;p-value=1e-04,cor=0.6578;p-value=0.0387,cor=0.3844;p-value=0.2727,cor=0.483;p-value=0.1573,cor=-0.1776;p-value=0.6235,cor=0.526;p-value=0.1183,cor=0.6517;p-value=0.0412
miRNA_ENSG00000263793.1__23044320__23044350,cor=-0.0158;p-value=0.9655,cor=-0.552;p-value=0.0981,cor=-0.2921;p-value=0.4128,cor=-0.6477;p-value=0.0429,cor=-0.3627;p-value=0.3029,cor=0.1769;p-value=0.6249,cor=-0.1912;p-value=0.5967,cor=-0.3469;p-value=0.326,cor=-0.5169;p-value=0.1261,cor=-0.5811;p-value=0.0781,cor=-0.5379;p-value=0.1087,cor=-0.6172;p-value=0.0573,cor=-0.305;p-value=0.3915,cor=0.3748;p-value=0.2859,cor=0.3039;p-value=0.3932,cor=0.4252;p-value=0.2206,cor=0.6013;p-value=0.0659,cor=0.7547;p-value=0.0116,cor=0.9317;p-value=1e-04,cor=0.6578;p-value=0.0387,cor=0.3844;p-value=0.2727,cor=0.483;p-value=0.1573,cor=-0.1776;p-value=0.6235,cor=0.526;p-value=0.1183,cor=0.6517;p-value=0.0412
miRNA_ENSG00000266802.1__23057858__23057888,cor=0.1766;p-value=0.6255,cor=0.2077;p-value=0.5647,cor=0.114;p-value=0.7538,cor=0.6217;p-value=0.055,cor=0.3218;p-value=0.3645,cor=-0.108;p-value=0.7665,cor=0.1181;p-value=0.7451,cor=0.7711;p-value=0.009,cor=0.7788;p-value=0.0079,cor=0.9467;p-value=0,cor=0.7377;p-value=0.0149,cor=0.3247;p-value=0.3601,cor=0.1223;p-value=0.7364,cor=0.1431;p-value=0.6934,cor=-0.2505;p-value=0.4852,cor=-0.4424;p-value=0.2005,cor=-0.918;p-value=2e-04,cor=-0.5584;p-value=0.0934,cor=-0.7578;p-value=0.0111,cor=-0.5426;p-value=0.1051,cor=-0.4436;p-value=0.1991,cor=-0.1724;p-value=0.634,cor=-0.3104;p-value=0.3827,cor=-0.6859;p-value=0.0286,cor=-0.7886;p-value=0.0067
miRNA_ENSG00000266802.1__23057873__23057903,cor=0.1858;p-value=0.6073,cor=0.2043;p-value=0.5713,cor=0.1237;p-value=0.7336,cor=0.6303;p-value=0.0508,cor=0.3342;p-value=0.3453,cor=-0.0972;p-value=0.7894,cor=0.1309;p-value=0.7186,cor=0.7698;p-value=0.0092,cor=0.7884;p-value=0.0067,cor=0.9519;p-value=0,cor=0.7334;p-value=0.0158,cor=0.3187;p-value=0.3694,cor=0.114;p-value=0.7539,cor=0.1414;p-value=0.6967,cor=-0.2514;p-value=0.4835,cor=-0.4438;p-value=0.1988,cor=-0.9212;p-value=2e-04,cor=-0.5488;p-value=0.1004,cor=-0.7588;p-value=0.0109,cor=-0.5431;p-value=0.1047,cor=-0.4316;p-value=0.213,cor=-0.1855;p-value=0.6079,cor=-0.3182;p-value=0.3702,cor=-0.6942;p-value=0.0259,cor=-0.7946;p-value=0.006
miRNA_ENSG00000266802.1__23057888__23057918,cor=0.1891;p-value=0.6009,cor=0.2254;p-value=0.5312,cor=0.1483;p-value=0.6826,cor=0.6493;p-value=0.0422,cor=0.3532;p-value=0.3168,cor=-0.0896;p-value=0.8055,cor=0.1456;p-value=0.6882,cor=0.7629;p-value=0.0103,cor=0.7959;p-value=0.0059,cor=0.952;p-value=0,cor=0.7249;p-value=0.0177,cor=0.3248;p-value=0.3598,cor=0.1056;p-value=0.7715,cor=0.1262;p-value=0.7282,cor=-0.2593;p-value=0.4694,cor=-0.4316;p-value=0.2129,cor=-0.9137;p-value=2e-04,cor=-0.5553;p-value=0.0956,cor=-0.7694;p-value=0.0093,cor=-0.5542;p-value=0.0964,cor=-0.4371;p-value=0.2066,cor=-0.1948;p-value=0.5897,cor=-0.3217;p-value=0.3648,cor=-0.7058;p-value=0.0226,cor=-0.8033;p-value=0.0051
