genes,yellow,blue,white,cyan,royalblue,orange,turquoise,brown,darkgrey,magenta,salmon,grey60,red,lightcyan,purple,black,darkred,darkturquoise,lightyellow,darkorange,greenyellow,pink,green,tan,grey
miRNA_ENSG00000273874.1__187891__187921,cor=-0.3921;p-value=0.2624,cor=0.6879;p-value=0.0279,cor=0.7159;p-value=0.0199,cor=0.5242;p-value=0.1198,cor=0.1804;p-value=0.618,cor=0.3943;p-value=0.2595,cor=0.2972;p-value=0.4043,cor=-0.0089;p-value=0.9806,cor=0.2617;p-value=0.4652,cor=0.098;p-value=0.7877,cor=0.2011;p-value=0.5774,cor=0.5728;p-value=0.0835,cor=0.2944;p-value=0.409,cor=-0.2873;p-value=0.4209,cor=-0.107;p-value=0.7687,cor=0.3814;p-value=0.2769,cor=0.0574;p-value=0.8749,cor=0.0497;p-value=0.8916,cor=-0.1966;p-value=0.5863,cor=-0.3674;p-value=0.2963,cor=-0.0552;p-value=0.8796,cor=-0.3637;p-value=0.3016,cor=-0.4236;p-value=0.2225,cor=-0.5527;p-value=0.0976,cor=-0.4348;p-value=0.2092
miRNA_ENSG00000273874.1__187906__187936,cor=-0.4615;p-value=0.1794,cor=0.2696;p-value=0.4513,cor=0.4488;p-value=0.1932,cor=0.4008;p-value=0.251,cor=0.1529;p-value=0.6732,cor=0.184;p-value=0.6109,cor=0.7698;p-value=0.0092,cor=0.1979;p-value=0.5837,cor=0.6855;p-value=0.0287,cor=0.2359;p-value=0.5117,cor=-0.0243;p-value=0.9468,cor=0.05;p-value=0.8909,cor=-0.0979;p-value=0.7879,cor=0.027;p-value=0.941,cor=-0.0266;p-value=0.9418,cor=0.076;p-value=0.8347,cor=-0.2222;p-value=0.5373,cor=-0.1162;p-value=0.7491,cor=-0.34;p-value=0.3364,cor=-0.3709;p-value=0.2913,cor=-0.0941;p-value=0.7961,cor=-0.441;p-value=0.202,cor=-0.0904;p-value=0.8038,cor=-0.3634;p-value=0.302,cor=-0.3197;p-value=0.3678
miRNA_ENSG00000273874.1__187921__187951,cor=-0.4004;p-value=0.2515,cor=0.1198;p-value=0.7416,cor=0.2833;p-value=0.4276,cor=0.3036;p-value=0.3938,cor=0.1327;p-value=0.7147,cor=0.0437;p-value=0.9046,cor=0.7883;p-value=0.0068,cor=0.2354;p-value=0.5127,cor=0.7102;p-value=0.0214,cor=0.2413;p-value=0.5018,cor=-0.1097;p-value=0.7629,cor=-0.1319;p-value=0.7164,cor=-0.2363;p-value=0.511,cor=0.1162;p-value=0.7491,cor=0.0039;p-value=0.9915,cor=-0.0641;p-value=0.8604,cor=-0.283;p-value=0.4282,cor=-0.1894;p-value=0.6001,cor=-0.3538;p-value=0.3158,cor=-0.3061;p-value=0.3897,cor=-0.0914;p-value=0.8018,cor=-0.3834;p-value=0.2741,cor=0.051;p-value=0.8888,cor=-0.2321;p-value=0.5187,cor=-0.2246;p-value=0.5328
miRNA_ENSG00000273874.1__187951__187958,cor=-0.3923;p-value=0.2621,cor=0.0468;p-value=0.8979,cor=0.2485;p-value=0.4887,cor=0.2677;p-value=0.4546,cor=0.1099;p-value=0.7624,cor=0.0618;p-value=0.8654,cor=0.7964;p-value=0.0058,cor=0.2386;p-value=0.5068,cor=0.7103;p-value=0.0213,cor=0.2413;p-value=0.5019,cor=-0.1089;p-value=0.7646,cor=-0.1684;p-value=0.642,cor=-0.2333;p-value=0.5165,cor=0.1463;p-value=0.6868,cor=0.0109;p-value=0.9761,cor=-0.0613;p-value=0.8663,cor=-0.2867;p-value=0.4218,cor=-0.1578;p-value=0.6632,cor=-0.3258;p-value=0.3583,cor=-0.2946;p-value=0.4087,cor=-0.0898;p-value=0.8052,cor=-0.3793;p-value=0.2797,cor=0.061;p-value=0.8671,cor=-0.212;p-value=0.5566,cor=-0.207;p-value=0.5662
miRNA_ENSG00000278791.1__632325__632355,cor=0.6666;p-value=0.0353,cor=0.1467;p-value=0.686,cor=0.3545;p-value=0.3149,cor=0.7261;p-value=0.0174,cor=0.7156;p-value=0.02,cor=0.1731;p-value=0.6325,cor=0.1954;p-value=0.5886,cor=0.3922;p-value=0.2624,cor=0.6051;p-value=0.0638,cor=0.7895;p-value=0.0066,cor=0.4415;p-value=0.2015,cor=0.1966;p-value=0.5862,cor=-0.0878;p-value=0.8095,cor=-0.1444;p-value=0.6907,cor=-0.2985;p-value=0.4022,cor=-0.4034;p-value=0.2477,cor=-0.674;p-value=0.0326,cor=-0.2153;p-value=0.5503,cor=-0.5971;p-value=0.0683,cor=-0.3692;p-value=0.2937,cor=-0.0353;p-value=0.9229,cor=-0.3504;p-value=0.3209,cor=-0.4326;p-value=0.2118,cor=-0.7101;p-value=0.0214,cor=-0.7424;p-value=0.0139
miRNA_ENSG00000278791.1__632340__632370,cor=0.6792;p-value=0.0308,cor=-0.0153;p-value=0.9666,cor=0.1799;p-value=0.6189,cor=0.6049;p-value=0.0639,cor=0.637;p-value=0.0476,cor=0.1239;p-value=0.7331,cor=0.1522;p-value=0.6746,cor=0.2954;p-value=0.4073,cor=0.4851;p-value=0.1553,cor=0.7432;p-value=0.0138,cor=0.5637;p-value=0.0897,cor=0.3463;p-value=0.3269,cor=0.2144;p-value=0.5519,cor=-0.3173;p-value=0.3716,cor=-0.4582;p-value=0.1829,cor=-0.5128;p-value=0.1296,cor=-0.6882;p-value=0.0278,cor=-0.3384;p-value=0.3389,cor=-0.6285;p-value=0.0516,cor=-0.3807;p-value=0.2778,cor=-0.2635;p-value=0.462,cor=-0.1639;p-value=0.6509,cor=-0.1892;p-value=0.6007,cor=-0.5772;p-value=0.0806,cor=-0.7035;p-value=0.0232
miRNA_ENSG00000278791.1__632355__632385,cor=0.6055;p-value=0.0636,cor=-0.2667;p-value=0.4563,cor=-0.267;p-value=0.4559,cor=0.2289;p-value=0.5246,cor=0.2631;p-value=0.4627,cor=-0.1834;p-value=0.612,cor=-0.1916;p-value=0.596,cor=0.4644;p-value=0.1764,cor=0.3175;p-value=0.3713,cor=0.6639;p-value=0.0363,cor=0.5011;p-value=0.1401,cor=0.0071;p-value=0.9844,cor=0.0066;p-value=0.9856,cor=0.1848;p-value=0.6093,cor=-0.0076;p-value=0.9833,cor=-0.6452;p-value=0.0439,cor=-0.7107;p-value=0.0212,cor=-0.3343;p-value=0.3452,cor=-0.4586;p-value=0.1825,cor=-0.2356;p-value=0.5123,cor=-0.1704;p-value=0.6379,cor=-0.0708;p-value=0.8459,cor=-0.0697;p-value=0.8483,cor=-0.2769;p-value=0.4386,cor=-0.4144;p-value=0.2338
miRNA_ENSG00000278791.1__632370__632400,cor=0.642;p-value=0.0454,cor=-0.2823;p-value=0.4293,cor=-0.268;p-value=0.4542,cor=0.1738;p-value=0.631,cor=0.2926;p-value=0.4119,cor=-0.1739;p-value=0.6309,cor=-0.1747;p-value=0.6293,cor=0.2484;p-value=0.4889,cor=0.1732;p-value=0.6322,cor=0.5002;p-value=0.1409,cor=0.3895;p-value=0.2659,cor=0.0422;p-value=0.9079,cor=0.0672;p-value=0.8537,cor=0.064;p-value=0.8605,cor=0.0722;p-value=0.8429,cor=-0.7268;p-value=0.0172,cor=-0.5866;p-value=0.0746,cor=-0.2804;p-value=0.4326,cor=-0.3781;p-value=0.2814,cor=-0.1574;p-value=0.664,cor=-0.1261;p-value=0.7285,cor=0.0122;p-value=0.9733,cor=-0.0142;p-value=0.9689,cor=-0.1723;p-value=0.6341,cor=-0.3243;p-value=0.3607
miRNA_ENSG00000278791.1__632400__632413,cor=0.4446;p-value=0.198,cor=-0.4936;p-value=0.1471,cor=-0.5721;p-value=0.084,cor=-0.1812;p-value=0.6164,cor=-0.0563;p-value=0.8772,cor=-0.2665;p-value=0.4566,cor=-0.3892;p-value=0.2663,cor=0.2437;p-value=0.4975,cor=-0.0692;p-value=0.8494,cor=0.3182;p-value=0.3703,cor=0.4152;p-value=0.2327,cor=0.0038;p-value=0.9917,cor=0.2391;p-value=0.5059,cor=0.0289;p-value=0.9367,cor=-0.2406;p-value=0.5031,cor=-0.5362;p-value=0.1101,cor=-0.4502;p-value=0.1917,cor=-0.2234;p-value=0.5351,cor=-0.1589;p-value=0.6611,cor=0.0779;p-value=0.8307,cor=-0.1226;p-value=0.7358,cor=0.2109;p-value=0.5586,cor=0.2477;p-value=0.4902,cor=0.1156;p-value=0.7504,cor=-0.06;p-value=0.8691
miRNA_ENSG00000207730.3__1167104__1167134,cor=0.0691;p-value=0.8495,cor=0.6009;p-value=0.0662,cor=0.7312;p-value=0.0163,cor=0.8688;p-value=0.0011,cor=0.7188;p-value=0.0192,cor=0.2027;p-value=0.5744,cor=0.7214;p-value=0.0185,cor=0.1137;p-value=0.7544,cor=0.734;p-value=0.0157,cor=0.4917;p-value=0.1489,cor=0.1658;p-value=0.6472,cor=0.4329;p-value=0.2114,cor=0.0175;p-value=0.9617,cor=-0.4252;p-value=0.2206,cor=-0.2864;p-value=0.4224,cor=-0.244;p-value=0.4969,cor=-0.4158;p-value=0.2321,cor=-0.3511;p-value=0.3198,cor=-0.666;p-value=0.0355,cor=-0.4869;p-value=0.1535,cor=-0.2143;p-value=0.5522,cor=-0.3228;p-value=0.363,cor=-0.3148;p-value=0.3757,cor=-0.6941;p-value=0.026,cor=-0.7078;p-value=0.022
