"","HCC21","HCC22","HCC23","HCC24","HCC25","N1","N2","N3","N4","N5"
"miRNA_ENSG00000274258.1__8866577__8866590",0,0,0,0,0,0,0,0.163788703414234,0.0354920241335389,0
"miRNA_ENSG00000284357.1__9151668__9151698",0,0,0.0467538275285951,0,0,0.0834063166307468,0.0867914967043854,0,0,0.19645114494308
"miRNA_ENSG00000284357.1__9151683__9151713",0.092946036598853,0.0314930522105947,0.0467538275285951,0,0.137296910611214,0.0834063166307468,0.130187245056578,0,0,0.19645114494308
"miRNA_ENSG00000284357.1__9151698__9151728",0.092946036598853,0.0314930522105947,0.0935076550571903,0,0.137296910611214,0.0834063166307468,0.173582993408771,0,0,0.19645114494308
"miRNA_ENSG00000284357.1__9151713__9151743",1.76597469537821,7.33788116506856,4.30135213263075,3.4034405007715,3.9816104077252,1.75153264924568,4.99051106050216,1.35125680316743,0.603364410270162,4.75411770762253
"miRNA_ENSG00000284357.1__9151728__9151758",1.76597469537821,7.33788116506856,4.30135213263075,3.4034405007715,3.9816104077252,1.70982949093031,4.94711531214997,1.35125680316743,0.603364410270162,4.59695679166807
"miRNA_ENSG00000284357.1__9151743__9151773",1.76597469537821,7.33788116506856,4.30135213263075,3.4034405007715,3.9816104077252,1.70982949093031,4.94711531214997,1.35125680316743,0.603364410270162,4.59695679166807
"miRNA_ENSG00000265521.1__9967381__9967411",0.418257164694839,0.629861044211894,0.561045930343142,0.567240083461917,0.228828184352023,0.500437899784481,1.25847670221359,0.614207637803378,0.496888337869545,0.903675266738167
"miRNA_ENSG00000265521.1__9967396__9967426",0.418257164694839,0.629861044211894,0.561045930343142,0.567240083461917,0.228828184352023,0.500437899784481,1.25847670221359,0.614207637803378,0.496888337869545,0.903675266738167
"miRNA_ENSG00000265521.1__9967411__9967441",0.325311128095986,0.598367992001299,0.467538275285951,0.567240083461917,0.228828184352023,0.542141058099854,1.30187245056578,0.655154813656936,0.496888337869545,0.864385037749551
"miRNA_ENSG00000265521.1__9967426__9967456",0,0.0314930522105947,0,0.0472700069551598,0,0.0417031583153734,0.0867914967043854,0.0409471758535585,0.0354920241335389,0
"miRNA_ENSG00000264881.1__10227718__10227748",0.325311128095986,0.314930522105947,0.140261482585785,0.614510090417077,0.411890731833642,0.25021894989224,0.347165986817542,0.327577406828468,0.212952144801234,0.275031602920312
"miRNA_ENSG00000264881.1__10227733__10227763",0.325311128095986,0.377916626527136,0.280522965171571,0.614510090417077,0.411890731833642,0.291922108207614,0.390561735169734,0.450418934389144,0.248444168934773,0.39290228988616
"miRNA_ENSG00000264881.1__10227748__10227778",0.418257164694839,0.53538188758011,0.374030620228761,0.661780097372237,0.503422005574451,0.208515791576867,0.390561735169734,0.368524582682027,0.283936193068312,0.353612060897544
"miRNA_ENSG00000264881.1__10227763__10227793",0.092946036598853,0.346423574316542,0.280522965171571,0.141810020865479,0.274593821222428,0.0417031583153734,0.0867914967043854,0.245683055121351,0.0709840482670779,0.19645114494308
"miRNA_ENSG00000264881.1__10227793__10227803",0,0.157465261052973,0,0,0.0457656368704046,0,0.0433957483521927,0,0,0
"miRNA_ENSG00000276869.1__12029158__12029188",0.13941905489828,0.314930522105947,0.187015310114381,0.189080027820639,0,0,0,0.122841527560676,0.0709840482670779,0.039290228988616
"miRNA_ENSG00000276869.1__12029173__12029203",0.325311128095986,0.314930522105947,0.187015310114381,0.236350034775799,0.0457656368704046,0.0417031583153734,0,0.163788703414234,0.0709840482670779,0.039290228988616
"miRNA_ENSG00000276869.1__12029188__12029218",0.185892073197706,0,0,0.0472700069551598,0.0457656368704046,0.0417031583153734,0,0.0409471758535585,0,0
"miRNA_ENSG00000276869.1__12029218__12029222",0.185892073197706,0,0,0.0472700069551598,0.0457656368704046,0.0417031583153734,0,0.0409471758535585,0,0
"miRNA_ENSG00000283789.1__12166943__12166973",0,0,0,0.0472700069551598,0,0,0,0,0,0
"miRNA_ENSG00000283789.1__12166958__12166988",0,0,0,0.0472700069551598,0,0,0,0,0,0
"miRNA_ENSG00000283789.1__12166973__12167003",0,0,0,0.0472700069551598,0,0,0,0,0,0
"miRNA_ENSG00000283789.1__12166988__12167018",0.0464730182994265,0.0629861044211894,0,0,0,0,0,0,0.0354920241335389,0
"miRNA_ENSG00000283789.1__12167003__12167033",0.0464730182994265,0.0629861044211894,0,0,0,0,0,0,0.0354920241335389,0
"miRNA_ENSG00000263676.1__12191713__12191743",0.185892073197706,0.0314930522105947,0.0467538275285951,0,0,0.0417031583153734,0,0.0409471758535585,0,0
"miRNA_ENSG00000263676.1__12191728__12191758",0.232365091497133,0.125972208842379,0.0467538275285951,0,0,0.0834063166307468,0.0433957483521927,0.081894351707117,0.106476072400617,0
"miRNA_ENSG00000263676.1__12191743__12191773",0.092946036598853,0.0944791566317841,0,0,0,0.0417031583153734,0.0433957483521927,0.0409471758535585,0.106476072400617,0
"miRNA_ENSG00000276830.1__12578957__12578987",0,0.0314930522105947,0,0.141810020865479,0.0457656368704046,0,0.0867914967043854,0.327577406828468,0.141968096534156,0.039290228988616
"miRNA_ENSG00000276830.1__12578972__12579002",0,0.0314930522105947,0.0935076550571903,0.378160055641278,0.0457656368704046,0.0417031583153734,0.0867914967043854,0.327577406828468,0.283936193068312,0.117870686965848
"miRNA_ENSG00000276830.1__12578987__12579017",0,0,0.0935076550571903,0.236350034775799,0,0.0417031583153734,0,0,0.141968096534156,0.078580457977232
"miRNA_ENSG00000263811.1__16858949__16858979",0.0464730182994265,0.220451365474163,0.0467538275285951,0.189080027820639,0.0457656368704046,0,0,0,0.0709840482670779,0.039290228988616
"miRNA_ENSG00000263811.1__16858964__16858994",0.092946036598853,0.629861044211894,0.0935076550571903,0.567240083461917,0.366125094963237,0.208515791576867,0.173582993408771,0.163788703414234,0.67434845853724,0.667933892806472
"miRNA_ENSG00000263811.1__16858979__16859009",0.092946036598853,0.440902730948326,0.0935076550571903,0.378160055641278,0.411890731833642,0.208515791576867,0.173582993408771,0.245683055121351,0.603364410270162,0.628643663817856
"miRNA_ENSG00000263811.1__16859009__16859021",0.092946036598853,0.125972208842379,0.0935076550571903,0.141810020865479,0.0915312737408092,0.0417031583153734,0.130187245056578,0.081894351707117,0.212952144801234,0.078580457977232
"miRNA_ENSG00000265606.1__18883202__18883232",0,0.0314930522105947,0,0.0472700069551598,0.0915312737408092,0.0417031583153734,0.0433957483521927,0.081894351707117,0.0354920241335389,0
"miRNA_ENSG00000265606.1__18883217__18883247",0,0.0314930522105947,0,0.0472700069551598,0.0915312737408092,0.0417031583153734,0.0433957483521927,0.081894351707117,0.0354920241335389,0
"miRNA_ENSG00000265606.1__18883232__18883262",0.092946036598853,0.0314930522105947,0,0.0945400139103195,0,0.0417031583153734,0.0433957483521927,0.0409471758535585,0.0709840482670779,0
"miRNA_ENSG00000265606.1__18883262__18883275",0.092946036598853,0.0314930522105947,0,0.0945400139103195,0,0.0417031583153734,0.0433957483521927,0.0409471758535585,0.0709840482670779,0
"miRNA_ENSG00000221662.1__18897071__18897101",4.13609862864896,57.1283967100188,38.571907711091,33.9871350007599,12.3109563181388,2.0434547574533,1.30187245056578,2.00641161682437,5.67872386136623,2.43599419729419
"miRNA_ENSG00000221662.1__18897086__18897116",4.13609862864896,57.1283967100188,38.571907711091,33.9871350007599,12.3109563181388,2.0434547574533,1.30187245056578,2.00641161682437,5.67872386136623,2.43599419729419
"miRNA_ENSG00000221662.1__18897101__18897131",0.0464730182994265,0,0,0.0472700069551598,0,0,0,0,0,0
"miRNA_ENSG00000221662.1__18897116__18897146",0,0,0,0.0472700069551598,0,0,0,0,0,0
"miRNA_ENSG00000221808.1__20988314__20988344",0.697095274491398,1.29121514063438,0.841568895514712,0.803590118237716,1.18990655863052,0.959172641253588,0.998102212100432,0.450418934389144,0.745332506804318,0.982255724715399
"miRNA_ENSG00000221808.1__20988329__20988359",0.697095274491398,1.35420124505557,0.888322723043308,0.850860125192876,1.23567219550092,0.959172641253588,0.998102212100432,0.450418934389144,0.745332506804318,0.982255724715399
"miRNA_ENSG00000221808.1__20988344__20988374",0.697095274491398,1.35420124505557,0.888322723043308,0.850860125192876,1.23567219550092,0.959172641253588,0.998102212100432,0.450418934389144,0.745332506804318,0.982255724715399
"miRNA_ENSG00000221808.1__20988359__20988389",1.90539375027649,1.73211787158271,1.82339927361521,1.41810020865479,1.32720346924173,1.29279790777658,1.30187245056578,1.39220397902099,0.887300603338474,1.37515801460156
"miRNA_ENSG00000221808.1__20988374__20988404",1.20829847578509,0.377916626527136,0.935076550571903,0.567240083461917,0.0915312737408092,0.333625266522987,0.303770238465349,0.941785044631846,0.141968096534156,0.39290228988616
"miRNA_ENSG00000221808.1__20988389__20988419",1.20829847578509,0.377916626527136,0.935076550571903,0.567240083461917,0.0915312737408092,0.333625266522987,0.303770238465349,0.941785044631846,0.141968096534156,0.39290228988616
"miRNA_ENSG00000276835.2__22633258__22633288",0.13941905489828,0.125972208842379,0.140261482585785,0,0.640718916185665,0,0,0.204735879267793,0.0709840482670779,0
"miRNA_ENSG00000276835.2__22633273__22633303",0.13941905489828,0.125972208842379,0.140261482585785,0,0.640718916185665,0,0,0.204735879267793,0.0709840482670779,0
"miRNA_ENSG00000263793.1__23044305__23044335",0.650622256191971,0.283437469895352,0.701307412928927,0.567240083461917,0.961078374278497,1.50131369935344,0.650936225282891,1.43315115487455,1.59714108600925,1.61089938853325
"miRNA_ENSG00000263793.1__23044320__23044350",0.650622256191971,0.283437469895352,0.701307412928927,0.567240083461917,0.961078374278497,1.50131369935344,0.650936225282891,1.43315115487455,1.59714108600925,1.61089938853325
"miRNA_ENSG00000266802.1__23057858__23057888",3.34605731755871,3.90513847411374,3.74030620228761,7.32685107804976,4.16467295520682,0.750656849676721,1.38866394727017,1.88357008926369,0.638856434403701,2.55386488426004
"miRNA_ENSG00000266802.1__23057873__23057903",3.39253033585814,3.99961763074553,3.92732151240199,7.56320111282556,4.34773550268844,0.834063166307468,1.38866394727017,1.92451726511725,0.638856434403701,2.55386488426004
"miRNA_ENSG00000266802.1__23057888__23057918",3.39253033585814,4.18857594400909,4.06758299498778,7.61047111978072,4.43926677642925,0.834063166307468,1.43205969562236,1.92451726511725,0.745332506804318,2.55386488426004
