"","logFC","logCPM","PValue"
"miRNA_ENSG00000265822.1__55225641__55225671",-2.42121553725107,-2.01500144170711,0.000112839372883189
"miRNA_ENSG00000265822.1__55225656__55225686",-2.42119548137071,-2.01500144170711,0.000113384016772495
"miRNA_ENSG00000278281.1__86357647__86357677",-2.35861662986793,-1.89071217338401,0.000214188518199255
"miRNA_ENSG00000278281.1__86357677__86357687",-2.35861753244849,-1.89071217338401,0.00021372082823253
"miRNA_ENSG00000275455.1__107897253__107897283",-2.66222657425303,-1.16910364752136,3.63771530654753e-05
"miRNA_ENSG00000275455.1__107897268__107897298",-2.46974850999303,-1.59128589897311,9.6251408426131e-05
"miRNA_ENSG00000275455.1__107897298__107897304",-2.73441860123374,-1.89097392498484,0.00011448291352568
"miRNA_ENSG00000264419.1__116560069__116560099",-2.4349585607935,0.865896007508901,9.24797659559843e-09
"miRNA_ENSG00000284586.1__155195177__155195207",2.21850996267816,3.27727821409824,6.85746982913311e-05
"miRNA_ENSG00000284586.1__155195192__155195222",2.21850981431998,3.27727821409824,6.84929702169536e-05
"miRNA_ENSG00000277817.1__155951273__155951303",2.29687858385477,-0.151072630451549,0.00518320456287433
"miRNA_ENSG00000277817.1__155951288__155951318",2.24967907880608,-0.123372360930154,0.00452690227299416
"miRNA_ENSG00000207729.3__162342546__162342576",-2.08450738030064,2.50446186444658,2.27570024787797e-07
"miRNA_ENSG00000207729.3__162342561__162342591",-2.08450714823216,2.50446186444658,2.26635564632083e-07
"miRNA_ENSG00000207729.3__162342576__162342606",-3.04802608481846,3.61384744404515,3.71170963066933e-16
"miRNA_ENSG00000207729.3__162342591__162342621",-4.18387631832196,2.74356801376873,3.8557598762945e-23
"miRNA_ENSG00000207729.3__162342606__162342636",-4.18132711379661,2.74141237939034,4.06910897271212e-23
"miRNA_ENSG00000207729.3__162342636__162342640",-4.62074934907087,-2.06084690439571,1.14891520364122e-08
"miRNA_ENSG00000221390.1__171101728__171101758",2.09235229836595,-1.19657324390897,0.0158722035363469
"miRNA_ENSG00000221390.1__171101743__171101773",2.09234651542216,-1.19657324390897,0.0158598223604477
"miRNA_ENSG00000283598.1__171101754__171101784",5.0858882449658,-0.345003192521034,0.000119202279390797
"miRNA_ENSG00000283598.1__171101784__171101798",5.05667274139565,-0.370057176276002,0.000122601809539697
